Suncycle timetable for the year 2018

Date 		Sunrise   Sunset
2018 1 1	7.129167  15.079167
2018 1 2	7.129167  15.095833
2018 1 3	7.129167  15.112500
2018 1 4	7.120833  15.129167
2018 1 5	7.120833  15.145833
2018 1 6	7.112500  15.170833
2018 1 7	7.112500  15.187500
2018 1 8	7.104167  15.212500
2018 1 9	7.095833  15.229167
2018 1 10	7.087500  15.254167
2018 1 11	7.079167  15.279167
2018 1 12	7.070833  15.304167
2018 1 13	7.062500  15.329167
2018 1 14	7.054167  15.354167
2018 1 15	7.037500  15.379167
2018 1 16	7.029167  15.404167
2018 1 17	7.012500  15.429167
2018 1 18	7.004167  15.454167
2018 1 19	6.987500  15.479167
2018 1 20	6.970833  15.504167
2018 1 21	6.954167  15.537500
2018 1 22	6.937500  15.562500
2018 1 23	6.920833  15.587500
2018 1 24	6.904167  15.620833
2018 1 25	6.879167  15.645833
2018 1 26	6.862500  15.679167
2018 1 27	6.845833  15.704167
2018 1 28	6.820833  15.737500
2018 1 29	6.804167  15.762500
2018 1 30	6.779167  15.795833
2018 1 31	6.754167  15.820833
2018 2 1	6.729167  15.854167
2018 2 2	6.712500  15.879167
2018 2 3	6.687500  15.912500
2018 2 4	6.662500  15.937500
2018 2 5	6.637500  15.970833
2018 2 6	6.612500  15.995833
2018 2 7	6.587500  16.029167
2018 2 8	6.554167  16.062500
2018 2 9	6.529167  16.087500
2018 2 10	6.504167  16.120833
2018 2 11	6.470833  16.145833
2018 2 12	6.445833  16.179167
2018 2 13	6.420833  16.204167
2018 2 14	6.387500  16.237500
2018 2 15	6.354167  16.270833
2018 2 16	6.329167  16.295833
2018 2 17	6.295833  16.329167
2018 2 18	6.270833  16.354167
2018 2 19	6.237500  16.387500
2018 2 20	6.204167  16.412500
2018 2 21	6.170833  16.445833
2018 2 22	6.145833  16.470833
2018 2 23	6.112500  16.504167
2018 2 24	6.079167  16.529167
2018 2 25	6.045833  16.562500
2018 2 26	6.012500  16.587500
2018 2 27	5.979167  16.620833
2018 2 28	5.945833  16.645833
2018 3 1	5.912500  16.670833
2018 3 2	5.879167  16.704167
2018 3 3	5.845833  16.729167
2018 3 4	5.812500  16.754167
2018 3 5	5.770833  16.787500
2018 3 6	5.737500  16.812500
2018 3 7	5.704167  16.837500
2018 3 8	5.670833  16.870833
2018 3 9	5.637500  16.895833
2018 3 10	5.595833  16.920833
2018 3 11	5.562500  16.954167
2018 3 12	5.529167  16.979167
2018 3 13	5.495833  17.004167
2018 3 14	5.454167  17.029167
2018 3 15	5.420833  17.062500
2018 3 16	5.387500  17.087500
2018 3 17	5.345833  17.112500
2018 3 18	5.312500  17.137500
2018 3 19	5.279167  17.170833
2018 3 20	5.237500  17.195833
2018 3 21	5.204167  17.220833
2018 3 22	5.170833  17.245833
2018 3 23	5.129167  17.270833
2018 3 24	5.095833  17.295833
2018 3 25	5.062500  17.329167
2018 3 26	5.020833  17.354167
2018 3 27	4.987500  17.379167
2018 3 28	4.954167  17.404167
2018 3 29	4.912500  17.429167
2018 3 30	4.879167  17.454167
2018 3 31	4.845833  17.479167
2018 4 1	4.804167  17.512500
2018 4 2	4.770833  17.537500
2018 4 3	4.737500  17.562500
2018 4 4	4.695833  17.587500
2018 4 5	4.662500  17.612500
2018 4 6	4.629167  17.637500
2018 4 7	4.587500  17.662500
2018 4 8	4.554167  17.687500
2018 4 9	4.520833  17.712500
2018 4 10	4.487500  17.737500
2018 4 11	4.454167  17.762500
2018 4 12	4.412500  17.795833
2018 4 13	4.379167  17.820833
2018 4 14	4.345833  17.845833
2018 4 15	4.312500  17.870833
2018 4 16	4.279167  17.895833
2018 4 17	4.245833  17.920833
2018 4 18	4.212500  17.945833
2018 4 19	4.179167  17.970833
2018 4 20	4.145833  17.995833
2018 4 21	4.112500  18.020833
2018 4 22	4.079167  18.045833
2018 4 23	4.045833  18.070833
2018 4 24	4.012500  18.095833
2018 4 25	3.979167  18.120833
2018 4 26	3.945833  18.145833
2018 4 27	3.920833  18.170833
2018 4 28	3.887500  18.195833
2018 4 29	3.854167  18.220833
2018 4 30	3.820833  18.245833
2018 5 1	3.795833  18.270833
2018 5 2	3.762500  18.295833
2018 5 3	3.737500  18.320833
2018 5 4	3.704167  18.345833
2018 5 5	3.679167  18.370833
2018 5 6	3.645833  18.395833
2018 5 7	3.620833  18.420833
2018 5 8	3.595833  18.445833
2018 5 9	3.570833  18.470833
2018 5 10	3.537500  18.487500
2018 5 11	3.512500  18.512500
2018 5 12	3.487500  18.537500
2018 5 13	3.462500  18.562500
2018 5 14	3.437500  18.587500
2018 5 15	3.420833  18.604167
2018 5 16	3.395833  18.629167
2018 5 17	3.370833  18.654167
2018 5 18	3.345833  18.670833
2018 5 19	3.329167  18.695833
2018 5 20	3.304167  18.712500
2018 5 21	3.287500  18.737500
2018 5 22	3.262500  18.754167
2018 5 23	3.245833  18.779167
2018 5 24	3.229167  18.795833
2018 5 25	3.212500  18.820833
2018 5 26	3.195833  18.837500
2018 5 27	3.179167  18.854167
2018 5 28	3.162500  18.879167
2018 5 29	3.145833  18.895833
2018 5 30	3.129167  18.912500
2018 5 31	3.120833  18.929167
2018 6 1	3.104167  18.945833
2018 6 2	3.087500  18.962500
2018 6 3	3.079167  18.979167
2018 6 4	3.070833  18.995833
2018 6 5	3.062500  19.004167
2018 6 6	3.045833  19.020833
2018 6 7	3.037500  19.037500
2018 6 8	3.037500  19.045833
2018 6 9	3.029167  19.062500
2018 6 10	3.020833  19.070833
2018 6 11	3.012500  19.079167
2018 6 12	3.012500  19.095833
2018 6 13	3.004167  19.104167
2018 6 14	3.004167  19.112500
2018 6 15	3.004167  19.120833
2018 6 16	3.004167  19.129167
2018 6 17	2.995833  19.137500
2018 6 18	3.004167  19.137500
2018 6 19	3.004167  19.145833
2018 6 20	3.004167  19.154167
2018 6 21	3.004167  19.154167
2018 6 22	3.012500  19.154167
2018 6 23	3.012500  19.162500
2018 6 24	3.020833  19.162500
2018 6 25	3.020833  19.162500
2018 6 26	3.029167  19.162500
2018 6 27	3.037500  19.162500
2018 6 28	3.045833  19.162500
2018 6 29	3.054167  19.162500
2018 6 30	3.062500  19.154167
2018 7 1	3.070833  19.154167
2018 7 2	3.087500  19.145833
2018 7 3	3.095833  19.145833
2018 7 4	3.104167  19.137500
2018 7 5	3.120833  19.129167
2018 7 6	3.129167  19.120833
2018 7 7	3.145833  19.112500
2018 7 8	3.162500  19.104167
2018 7 9	3.179167  19.095833
2018 7 10	3.187500  19.087500
