Suncycle timetable for the year 2018

Date 		Sunrise   Sunset
2018 01 01	9.129167  17.079167
2018 01 02	9.129167  17.095833
2018 01 03	9.129167  17.112500
2018 01 04	9.120833  17.129167
2018 01 05	9.120833  17.145833
2018 01 06	9.112500  17.170833
2018 01 07	9.112500  17.187500
2018 01 08	9.104167  17.212500
2018 01 09	9.095833  17.229167
2018 01 10	9.087500  17.254167
2018 01 11	9.079167  17.279167
2018 01 12	9.070833  17.304167
2018 01 13	9.062500  17.329167
2018 01 14	9.054167  17.354167
2018 01 15	9.037500  17.379167
2018 01 16	9.029167  17.404167
2018 01 17	9.012500  17.429167
2018 01 18	9.004167  17.454167
2018 01 19	8.987500  17.479167
2018 01 20	8.970833  17.504167
2018 01 21	8.954167  17.537500
2018 01 22	8.937500  17.562500
2018 01 23	8.920833  17.587500
2018 01 24	8.904167  17.620833
2018 01 25	8.879167  17.645833
2018 01 26	8.862500  17.679167
2018 01 27	8.845833  17.704167
2018 01 28	8.820833  17.737500
2018 02 01	8.729167  17.854167
2018 02 02	8.712500  17.879167
2018 02 03	8.687500  17.912500
2018 02 04	8.662500  17.937500
2018 02 05	8.637500  17.970833
2018 02 06	8.612500  17.995833
2018 02 07	8.587500  18.029167
2018 02 08	8.554167  18.062500
2018 02 09	8.529167  18.087500
2018 02 10	8.504167  18.120833
2018 02 11	8.470833  18.145833
2018 02 12	8.445833  18.179167
2018 02 13	8.420833  18.204167
2018 02 14	8.387500  18.237500
2018 02 15	8.354167  18.270833
2018 02 16	8.329167  18.295833
2018 02 17	8.295833  18.329167
2018 02 18	8.270833  18.354167
2018 02 19	8.237500  18.387500
2018 02 20	8.204167  18.412500
2018 02 21	8.170833  18.445833
2018 02 22	8.145833  18.470833
2018 02 23	8.112500  18.504167
2018 02 24	8.079167  18.529167
2018 02 25	8.045833  18.562500
2018 02 26	8.012500  18.587500
2018 02 27	7.979167  18.620833
2018 02 28	7.945833  18.645833
2018 03 01	7.912500  18.670833
2018 03 02	7.879167  18.704167
2018 03 03	7.845833  18.729167
2018 03 04	7.812500  18.754167
2018 03 05	7.770833  18.787500
2018 03 06	7.737500  18.812500
2018 03 07	7.704167  18.837500
2018 03 08	7.670833  18.870833
2018 03 09	7.637500  18.895833
2018 03 10	7.595833  18.920833
2018 03 11	7.562500  18.954167
2018 03 12	7.529167  18.979167
2018 03 13	7.495833  19.004167
2018 03 14	7.454167  19.029167
2018 03 15	7.420833  19.062500
2018 03 16	7.387500  19.087500
2018 03 17	7.345833  19.112500
2018 03 18	7.312500  19.137500
2018 03 19	7.279167  19.170833
2018 03 20	7.237500  19.195833
2018 03 21	7.204167  19.220833
2018 03 22	7.170833  19.245833
2018 03 23	7.129167  19.270833
2018 03 24	7.095833  19.295833
2018 03 25	7.062500  19.329167
2018 03 26	7.020833  19.354167
2018 03 27	6.987500  19.379167
2018 03 28	6.954167  19.404167
2018 04 01	6.804167  19.512500
2018 04 02	6.770833  19.537500
2018 04 03	6.737500  19.562500
2018 04 04	6.695833  19.587500
2018 04 05	6.662500  19.612500
2018 04 06	6.629167  19.637500
2018 04 07	6.587500  19.662500
2018 04 08	6.554167  19.687500
2018 04 09	6.520833  19.712500
2018 04 10	6.487500  19.737500
2018 04 11	6.454167  19.762500
2018 04 12	6.412500  19.795833
2018 04 13	6.379167  19.820833
2018 04 14	6.345833  19.845833
2018 04 15	6.312500  19.870833
2018 04 16	6.279167  19.895833
2018 04 17	6.245833  19.920833
2018 04 18	6.212500  19.945833
2018 04 19	6.179167  19.970833
2018 04 20	6.145833  19.995833
2018 04 21	6.112500  20.020833
2018 04 22	6.079167  20.045833
2018 04 23	6.045833  20.070833
2018 04 24	6.012500  20.095833
2018 04 25	5.979167  20.120833
2018 04 26	5.945833  20.145833
2018 04 27	5.920833  20.170833
2018 04 28	5.887500  20.195833
2018 04 29	5.854167  20.220833
2018 04 30	5.820833  20.245833
2018 05 01	5.795833  20.270833
2018 05 02	5.762500  20.295833
2018 05 03	5.737500  20.320833
2018 05 04	5.704167  20.345833
2018 05 05	5.679167  20.370833
2018 05 06	5.645833  20.395833
2018 05 07	5.620833  20.420833
2018 05 08	5.595833  20.445833
2018 05 09	5.570833  20.470833
2018 05 10	5.537500  20.487500
2018 05 11	5.512500  20.512500
2018 05 12	5.487500  20.537500
2018 05 13	5.462500  20.562500
2018 05 14	5.437500  20.587500
2018 05 15	5.420833  20.604167
2018 05 16	5.395833  20.629167
2018 05 17	5.370833  20.654167
2018 05 18	5.345833  20.670833
2018 05 19	5.329167  20.695833
2018 05 20	5.304167  20.712500
2018 05 21	5.287500  20.737500
2018 05 22	5.262500  20.754167
2018 05 23	5.245833  20.779167
2018 05 24	5.229167  20.795833
2018 05 25	5.212500  20.820833
2018 05 26	5.195833  20.837500
2018 05 27	5.179167  20.854167
2018 05 28	5.162500  20.879167
2018 06 01	5.104167  20.945833
2018 06 02	5.087500  20.962500
2018 06 03	5.079167  20.979167
2018 06 04	5.070833  20.995833
2018 06 05	5.062500  21.004167
2018 06 06	5.045833  21.020833
2018 06 07	5.037500  21.037500
2018 06 08	5.037500  21.045833
2018 06 09	5.029167  21.062500
2018 06 10	5.020833  21.070833
2018 06 11	5.012500  21.079167
2018 06 12	5.012500  21.095833
2018 06 13	5.004167  21.104167
2018 06 14	5.004167  21.112500
2018 06 15	5.004167  21.120833
2018 06 16	5.004167  21.129167
2018 06 17	4.995833  21.137500
2018 06 18	5.004167  21.137500
2018 06 19	5.004167  21.145833
2018 06 20	5.004167  21.154167
2018 06 21	5.004167  21.154167
2018 06 22	5.012500  21.154167
2018 06 23	5.012500  21.162500
2018 06 24	5.020833  21.162500
2018 06 25	5.020833  21.162500
2018 06 26	5.029167  21.162500
2018 06 27	5.037500  21.162500
2018 06 28	5.045833  21.162500
2018 06 29	5.054167  21.162500
2018 06 30	5.062500  21.154167
2018 07 01	5.070833  21.154167
2018 07 02	5.087500  21.145833
2018 07 03	5.095833  21.145833
2018 07 04	5.104167  21.137500
2018 07 05	5.120833  21.129167
2018 07 06	5.129167  21.120833
2018 07 07	5.145833  21.112500
2018 07 08	5.162500  21.104167
2018 07 09	5.179167  21.095833
2018 07 10	5.187500  21.087500
2018 07 11	5.204167  21.079167
2018 07 12	5.220833  21.062500
2018 07 13	5.237500  21.054167
2018 07 14	5.262500  21.037500
2018 07 15	5.279167  21.029167
2018 07 16	5.295833  21.012500
2018 07 17	5.312500  20.995833
2018 07 18	5.337500  20.979167
2018 07 19	5.354167  20.962500
2018 07 20	5.370833  20.945833
2018 07 21	5.395833  20.929167
2018 07 22	5.412500  20.912500
2018 07 23	5.437500  20.887500
2018 07 24	5.454167  20.870833
2018 07 25	5.479167  20.845833
2018 07 26	5.504167  20.829167
2018 07 27	5.520833  20.804167
2018 07 28	5.545833  20.787500
2018 08 01	5.637500  20.687500
2018 08 02	5.662500  20.670833
2018 08 03	5.687500  20.645833
2018 08 04	5.712500  20.612500
2018 08 05	5.729167  20.587500
2018 08 06	5.754167  20.562500
2018 08 07	5.779167  20.537500
2018 08 08	5.804167  20.512500
2018 08 09	5.829167  20.479167
2018 08 10	5.854167  20.454167
2018 08 11	5.879167  20.420833
2018 08 12	5.904167  20.395833
2018 08 13	5.929167  20.362500
2018 08 14	5.954167  20.337500
2018 08 15	5.979167  20.304167
2018 08 16	6.004167  20.279167
2018 08 17	6.029167  20.245833
2018 08 18	6.054167  20.212500
2018 08 19	6.079167  20.179167
2018 08 20	6.104167  20.145833
2018 08 21	6.129167  20.120833
2018 08 22	6.154167  20.087500
2018 08 23	6.179167  20.054167
2018 08 24	6.204167  20.020833
2018 08 25	6.229167  19.987500
2018 08 26	6.254167  19.954167
2018 08 27	6.279167  19.920833
2018 08 28	6.304167  19.887500
2018 09 01	6.404167  19.745833
2018 09 02	6.429167  19.712500
2018 09 03	6.454167  19.679167
2018 09 04	6.479167  19.645833
2018 09 05	6.504167  19.604167
2018 09 06	6.529167  19.570833
2018 09 07	6.554167  19.537500
2018 09 08	6.579167  19.504167
2018 09 09	6.604167  19.462500
2018 09 10	6.629167  19.429167
2018 09 11	6.654167  19.395833
2018 09 12	6.679167  19.354167
2018 09 13	6.704167  19.320833
2018 09 14	6.729167  19.287500
2018 09 15	6.754167  19.245833
2018 09 16	6.779167  19.212500
2018 09 17	6.804167  19.170833
2018 09 18	6.829167  19.137500
2018 09 19	6.854167  19.104167
2018 09 20	6.879167  19.062500
2018 09 21	6.904167  19.029167
2018 09 22	6.929167  18.987500
2018 09 23	6.954167  18.954167
2018 09 24	6.979167  18.920833
2018 09 25	7.004167  18.879167
2018 09 26	7.029167  18.845833
2018 09 27	7.054167  18.804167
2018 09 28	7.079167  18.770833
2018 09 29	7.104167  18.737500
2018 09 30	7.129167  18.695833
2018 10 01	7.154167  18.662500
2018 10 02	7.179167  18.620833
2018 10 03	7.204167  18.587500
